amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,Sharpe,Sortino,Alpha,Beta,max_drawdown,score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,0.9453082575156092,1.675316570012547,0.3078431331829114,-0.0002866055685681,-0.2870600572176455,82.75
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,1.180101197660648,2.029352940465737,0.2916679973166625,5.440896890472805e-05,-0.1818851357211629,81.62499999999999
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,0.9497958246616012,1.6197931764914024,0.2980895458466925,0.0001570110281346,-0.3117190030063421,77.3125
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,1.0936987435346328,1.829133961514691,0.268942078069128,0.0001750679923848,-0.1621720857464484,74.87499999999999
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,1.306743969542841,2.364320032166709,0.2759751448463142,-0.0001863625561971,-0.1297396816518679,74.62500000000001
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,0.99823098686364,1.7037974802462923,0.2655207161401147,-0.0003753243895566,-0.2096088386203919,69.62499999999999
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,1.448291170326253,2.3856443733687978,0.2709890044620296,-2.3361041606851887e-05,-0.1126572907502827,68.62499999999999
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,1.132121852474721,1.8751010639191965,0.265826142716024,4.53105066115234e-06,-0.1724810575345138,68.37500000000001
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,1.026524284799298,1.8052937940992424,0.2127134852766524,-1.46856186776242e-05,-0.1258827560692251,62.87499999999999
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,1.234930025774331,2.14691392634605,0.2805336841566209,0.0001507258610666,-0.1639674294693263,62.06250000000001
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,1.081659179345704,1.850132546855717,0.2154953207332155,0.000140432227521,-0.1741407508665723,61.9375
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,0.4484340089089892,0.7460146308533518,0.1749408244963668,0.0001796125021808,-0.2334488614483311,59.9375
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,-0.0571866258281818,-0.094387261294599,0.0450650789695676,0.0003131058581716,-0.5257422117012851,59.56250000000001
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,1.2082665673727138,2.140267129061778,0.2327793763602503,-9.648365517105664e-05,-0.1501238549864533,57.43750000000001
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,24.93,22.38,23.8,20.54,1.84,0.97,0.9,1.47,25.0,-23.61,41613,1.53,5,Very High,0.1626607692864674,0.2766437962609221,0.1046432278027823,0.0001281254589841,-0.3544691649336603,57.1875
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,0.9262873467360144,1.6327409778735096,0.2068435293122067,5.9379287973420055e-05,-0.1527259422823477,55.81250000000001
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,0.6488787755249534,1.0958951614736423,0.1702423383366498,-0.0003544329592664,-0.1982565826298267,55.749999999999986
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,19.98,15.29,15.85,14.39,0.9,1.04,0.8,1.38,19.0,-32.22,18792,0.78,4,High,0.3006119210425448,0.5088128197169164,0.1163712153827092,0.0002098710101408,-0.2111727956013211,54.75
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,21.97,20.98,22.62,20.47,0.51,1.0,0.84,1.4,25.0,-14.45,21545,1.38,4,Very High,-0.0759735711747893,-0.1281855927585191,0.0487809034897458,-0.0001560825341634,-0.5167775370852656,53.37500000000001
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,11.48,13.38,13.48,12.25,1.13,0.97,0.96,1.45,14.0,-33.5,10611,0.92,4,Moderate,0.7757902498211185,1.3306512447571266,0.1753416747507434,0.0001910621814086,-0.1520001305560639,53.125
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,0.9532794968660092,1.609776489628299,0.2006336355930152,-0.0001520834731757,-0.1180349350276429,52.37500000000001
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,14.82,13.78,12.86,12.44,1.34,1.03,0.98,1.25,14.0,-15.07,23500,1.6,5,Moderate,1.0272133278753697,1.799562874698445,0.2121614629282175,0.0001373121280923,-0.1129159632932307,51.5625
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,0.6452074382933202,1.1544757169236162,0.1541811509408509,6.243084841651862e-05,-0.1862974313859551,51.1875
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,0.6195175900829826,1.0887552508029967,0.1623001033501377,1.7998691557491475e-05,-0.2153982711238322,50.31249999999999
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,0.0759998480465842,0.1246934698647482,0.0725236650188337,0.0003357321517427,-0.2400351132627488,49.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,15.63,11.54,11.46,10.88,0.66,0.96,0.82,1.12,14.0,-25.91,36022,1.42,4,Moderate,0.7979728586052822,1.3379431500669132,0.1780947514465834,-0.0001271206066092,-0.1389786282306163,44.24999999999999
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,13.95,12.14,13.66,10.71,1.43,0.87,0.87,1.54,14.0,-17.4,15866,0.75,4,Moderate,0.1296144979566888,0.221086839792755,0.0842162748516513,-6.033034620459721e-05,-0.2175139637014822,42.5
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,0.6648569985490604,1.1379767187807344,0.1567852072537499,-0.0003019989669827,-0.1165062450540909,42.37500000000001
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,-0.2058316078547047,-0.3472223025472743,0.0287109631917741,-5.733325111392508e-05,-0.2800112356639287,39.6875
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,0.8170993373494354,1.4357420130649396,0.1691551534252839,4.049213935007952e-05,-0.1085986215250232,38.125
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,11.96,12.82,12.35,11.0,1.82,0.91,0.92,1.63,14.0,-21.7,41828,1.54,5,Moderate,0.4640374492204747,0.7621288703723081,0.1327947831940404,-6.561261176590637e-05,-0.1484457691777174,37.31250000000001
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,0.4942725378672308,0.8625738849916469,0.1360445077713466,-0.0002484532345713,-0.1757361416468729,36.5
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,10.94,14.84,11.32,14.06,0.78,0.97,1.06,1.7,14.0,-17.41,6434,1.55,5,Moderate,-0.2015170675596698,-0.3510474601523083,0.03527346565062,2.2629324166744493e-05,-0.247344408806733,34.75
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,8.89,7.68,7.94,5.83,1.85,0.26,7.68,10.37,0.5,-2.62,39116,0.74,5,Low,0.4957233929519098,1.052123882257986,0.0675161799296076,-3.7427977107465447e-06,-0.0009773140045925,33.125
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,-0.0887472962169809,-0.1877230477454048,0.0645267968972531,9.751071375235806e-07,-0.0011629327956168,26.0
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,11.82,11.84,14.14,10.43,1.41,0.91,0.85,1.25,14.0,-27.54,25803,1.64,4,Moderate,0.0307848509545839,0.0525739855930443,0.0697561661061739,-2.5497834134917147e-05,-0.1440161790933726,22.9375
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,-0.3566295075144003,-0.6135251287271505,0.0508669616559712,-4.4515392559743245e-06,-0.083163617636387,22.25
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,6.83,7.37,6.41,5.39,1.98,0.44,1.84,2.79,4.0,-6.01,27953,0.56,3,Low,-0.5670947928477084,-0.9418212366054451,0.0438642033519792,-5.5841106351247385e-05,-0.0430826382463634,21.5
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,-0.2265753866279454,-0.3767670081707111,0.0569683421914159,-5.286196897916261e-05,-0.0432872892397009,20.875
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,6.18,5.14,7.95,3.96,1.18,0.43,5.14,8.76,0.5,-3.66,38995,0.79,5,Low,-0.8155673679101643,-1.6810378667540928,0.0606885432566455,1.0007428918458736e-05,-0.0016224980244717,16.75
